unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HRBJA;Julho;2023;VIII;> 34;85;0;0;0
HRBJA;Agosto;2023;I;0 a 4;4;0;0;0
HRBJA;Agosto;2023;II;5 a 9;8;4;0;0,32
HRBJA;Agosto;2023;III;10 a 14;15;3;0;0,45
HRBJA;Agosto;2023;IV;15 a 19;25;4;3;1
HRBJA;Agosto;2023;V;20 a 24;40;3;2;1,2
HRBJA;Agosto;2023;VI;25 a 29;55;1;1;0,55
HRBJA;Agosto;2023;VII;30 a 34;75;3;2;2,25
HRBJA;Agosto;2023;VIII;> 34;85;1;0;0,85
HRBJA;Setembro;2023;I;0 a 4;4;0;0;0
HRBJA;Setembro;2023;II;5 a 9;8;0;0;0
HRBJA;Setembro;2023;III;10 a 14;15;1;0;0,15
HRBJA;Setembro;2023;IV;15 a 19;25;5;2;1,25
HRBJA;Setembro;2023;V;20 a 24;40;2;0;0,8
HRBJA;Setembro;2023;VI;25 a 29;55;4;2;2,2
HRBJA;Setembro;2023;VII;30 a 34;75;3;2;2,25
HRBJA;Setembro;2023;VIII;> 34;85;0;0;0
HRJP;Janeiro;2023;I;0 a 4;4;1;0;0,04
HRJP;Janeiro;2023;II;5 a 9;8;7;1;0,56
HRJP;Janeiro;2023;III;10 a 14;15;6;0;0,9
HRJP;Janeiro;2023;IV;15 a 19;25;2;1;0,5
HRJP;Janeiro;2023;V;20 a 24;40;3;1;1,2
HRJP;Janeiro;2023;VI;25 a 29;55;4;2;2,2
HRJP;Janeiro;2023;VII;30 a 34;75;0;0;0
HRJP;Janeiro;2023;VIII;> 34;85;0;0;0
HRJP;Fevereiro;2023;I;0 a 4;4;0;0;0
HRJP;Fevereiro;2023;II;5 a 9;8;6;0;0,48
HRJP;Fevereiro;2023;III;10 a 14;15;19;6;2,85
HRJP;Fevereiro;2023;IV;15 a 19;25;6;0;1,5
HRJP;Fevereiro;2023;V;20 a 24;40;6;3;2,4
HRJP;Fevereiro;2023;VI;25 a 29;55;2;1;1,1
HRJP;Fevereiro;2023;VII;30 a 34;75;1;0;0,75
HRJP;Fevereiro;2023;VIII;> 34;85;1;1;0,85
HRJP;Março;2023;I;0 a 4;4;5;1;0,2
HRJP;Março;2023;II;5 a 9;8;6;0;0,48
